"dept","siren","raison_sociale","nature_juridique","mode_financ","nb_membres","total_pop_tot","total_pop_mun","dep_com","insee","siren_membre","nom_membre","ptot_2023","pmun_2023","path"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31047",213100472,"Bax",94,93,"m 1.2669551,43.372955 0.011,0.0061 0.00882,0.0011 0.011325,0.01056 0.021011,-0.0068 0.00115,0.01074 -0.012987,-7.24e-4 -0.00601,0.0047 -0.00872,0.0011 0,0 -0.01345,-0.0014 -0.00619,-0.01252 -0.013326,-0.009 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31226",213102262,"Gouzens",86,81,"m 1.1916354,43.44553 -0.01404,-8.79e-4 -0.00831,-0.0011 -1.464e-4,-0.0066 0,0 1.373e-4,-0.0104 0.011911,-0.0056 0.019941,0.0089 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31279",213102791,"Latour",77,76,"m 1.2674472,43.403268 0.011646,-0.005 0.01345,0.0014 0.00278,0.0093 0.011564,0.0093 -0.00944,0.0056 0,0 -0.019651,-0.0063 -0.010281,0.0041 -0.00439,-0.0053 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31272",213102726,"Lapeyrère",66,63,"m 1.3012581,43.398582 0.00601,-0.0047 0.012987,7.24e-4 -4.33e-5,0.0065 0.00878,0.0074 0.00179,0.0075 -0.00723,0.006 -0.00778,9.94e-4 0,0 -0.00889,-0.0049 -0.011564,-0.0093 -0.00278,-0.0093 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31267",213102676,"Lahitère",64,62,"m 1.1842162,43.456245 0.018117,0.02652 0.00124,0.0033 -0.00401,0.0017 0,0 -0.02341,-0.01556 -0.00418,-0.0054 0.00198,-0.0061 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31103",213101033,"Canens",58,58,"m 1.3185807,43.382206 0.016891,0.0054 0.00558,0.0054 0.00912,0.0012 0.00766,0.006 -0.028847,0.0085 0,0 -0.00878,-0.0074 4.33e-5,-0.0065 -0.00115,-0.01074 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31312",213103120,"Mailholas",36,35,"m 1.2629123,43.359263 -0.00697,0.0041 0.011009,0.0096 -0.00738,0.0038 0,0 -0.022833,-0.0034 0.00247,-0.0064 0.024362,-0.01417 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31395",213103955,"Muret",25336,24762,"m 1.2899962,43.194535 0.00461,-0.0048 -0.020742,-0.0078 -0.00904,-3.77e-4 -0.00784,0.0038 0.011866,-0.02378 -0.015441,-0.0069 0.00722,-0.004 -8.768e-4,-0.0033 -0.035761,-0.003 0.00424,-0.01158 0.035137,0.0058 0.00865,-0.0019 0.00393,-0.0057 0.036418,0.0066 0.018378,-0.01392 0.00871,-0.0024 0.00872,0.0022 -0.00344,0.0025 0.00226,0.0099 -0.00323,0.0062 0.012166,-1.59e-4 0.010454,0.0074 0.00919,-0.0018 -0.00212,0.0061 -0.011803,0.01021 -0.00415,0.0098 -0.027534,0.01885 -0.00493,0.0059 -0.00119,0.0033 0.012847,0.0029 0.00194,0.0032 -0.00162,0.0066 -0.019539,0.0083 0,0 -0.00809,-0.0024 -0.00104,-0.0132 -0.00694,-0.0082 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31187",213101876,"Fonsorbes",12454,12119,"m 1.1983643,43.075684 0.00648,-0.0048 0.016028,-0.007 0.018206,-0.0031 0.016562,0.0067 0.00501,0.0096 0.030135,0.01001 -0.00506,0.0069 -0.013183,0.0033 -0.023127,-0.0033 0,0 -0.012198,0.0043 -0.013655,-0.0025 -0.026578,-0.01347 z"
"31",200068641,"CA Le Muretain Agglo","CA","FPU",26,127063,124721,"31","31433",213104334,"Portet-sur-Garonne",9955,9832,"m 1.4094403,43.09579 -0.021495,0.0056 -0.01171,-0.0097 0.00194,-0.0026 -0.00501,-0.01037 -0.00682,-0.0089 0.00275,-0.0066 0.017645,0.01151 0.025,-0.0094 0.018196,0.0017 5.705e-4,0.01272 -0.00545,0.0122 0.00195,0.003 0.00898,0.0014 -0.00381,0.0086 0,0 -0.013221,-1.5e-4 -0.00456,-0.0054 -3.156e-4,-0.0034 z"
