dept;siren;raison_sociale;nature_juridique;mode_financ;nb_membres;total_pop_tot;total_pop_mun;dep_com;insee;siren_membre;nom_membre;ptot_2023;pmun_2023;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01121;210101218;Corlier;117;116;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01051;210100517;Bolozon;92;91;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01311;210103115;Prémillieu;44;44;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01093;210100939;Châtillon-sur-Chalaronne;5171;4968;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01443;210104436;Villars-les-Dombes;5040;4946;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01333;210103339;Saint-André-de-Corcy;3425;3366;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01074;210100749;Chalamont;2612;2574;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01248;210102489;Mionnay;2299;2245;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01389;210103891;Saint-Trivier-sur-Moignans;1866;1823;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01092;210100921;Châtillon-la-Palud;1682;1622;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01383;210103834;Saint-Paul-de-Varax;1604;1583;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01272;210102729;Neuville-les-Dames;1511;1490;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01235;210102356;Marlieux;1266;1179;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01371;210103719;Saint-Marcel;1248;1221;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01083;210100830;Chaneins;982;965;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01381;210103818;Saint-Nizier-le-Désert;938;920;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01113;210101135;Condeissiat;829;817;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01001;210100012;L'Abergement-Clémenciat;821;806;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01449;210104493;Villette-sur-Ain;775;760;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01261;210102612;Monthieux;705;681;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01028;210100285;Baneins;642;625;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01412;210104121;Sulignat;623;611;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01328;210103289;Romans;610;606;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01299;210102992;Le Plantay;599;589;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01393;210103933;Sandrans;568;555;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01434;210104345;Versailleux;498;488;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01319;210103198;Relevant;476;467;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01146;210101465;Dompierre-sur-Chalaronne;439;436;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01335;210103354;Saint-André-le-Bouchoux;416;410;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01085;210100855;La Chapelle-du-Châtelard;403;397;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01090;210100905;Châtenay;367;361;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01052;210100525;Bouligneux;338;332;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01207;210102075;Lapeyrouse;326;314;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01382;210103826;Sainte-Olive;309;305;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01129;210101291;Crans;308;303;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01045;210100459;Birieux;288;285;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01359;210103594;Saint-Germain-sur-Renon;253;251;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01356;210103560;Saint-Georges-sur-Renon;208;203;;;
01;200069193;CC de la Dombes;CC;FPU;36;40573;39632;01;01428;210104287;Valeins;128;128;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01263;210102638;Montmerle-sur-Saône;3849;3761;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01348;210103487;Saint-Didier-sur-Chalaronne;3069;3003;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01420;210104204;Thoissey;1672;1664;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01351;210103511;Saint-Étienne-sur-Chalaronne;1629;1602;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01165;210101655;Francheleins;1619;1586;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01183;210101838;Guéreins;1516;1487;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01075;210100756;Chaleins;1433;1402;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01243;210102430;Messimy-sur-Saône;1299;1262;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01258;210102588;Montceaux;1216;1194;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01252;210102521;Mogneneins;819;796;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01188;210101887;Illiat;702;681;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01295;210102950;Peyzieux-sur-Saône;686;676;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01167;210101671;Garnerans;681;657;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01169;210101697;Genouilleux;674;651;;;
01;200070118;CC Val de Saône Centre;CC;FPU;15;21262;20805;01;01225;210102257;Lurcy;398;383;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01457;210104576;Vonnas;3240;3198;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01246;210102463;Mézériat;2244;2204;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01179;210101796;Grièges;1936;1884;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01343;210103438;Saint-Cyr-sur-Menthon;1863;1822;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01134;210101341;Crottet;1836;1792;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01306;210103065;Pont-de-Veyle;1701;1637;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01203;210102034;Laiz;1336;1306;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01123;210101234;Cormoranche-sur-Saône;1195;1159;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01365;210103651;Saint-Jean-sur-Veyle;1193;1165;;;
01;200070555;CC de la Veyle;CC;FPU;18;23597;23096;01;01096;210100962;Chaveyriat;1063;1033;;;
